,Tweet,Polarity
0,igbo want president must belong ismaila isa funtua nbelong amp people listen asinine arrogant contribution coming unrepentant amalekite racial supremacist uncircumcised philistine amp ageing almajiri,1
1,believe nigerian writer chuma nwokolo given due author ten books prose amp poetry one funniest nigerian writers know first novel published still publishing nigeria ntease,0
2,facts ndidn kill americans nactually fought us al qaeda nhad ties otherwise would true nhelped eliminate isis syria massacring christians muslims like animals nkilled trump bibi favor,0
3,every ipob activists twitter account nmine let follow,0
4,nigeria living zoo,1
5,almajiri problem plenty anyhow,1
6,concluded live phone program english issue almajiri garkuwa fm sokoto njoin us hausa version morning discussion centred campaign history almajiri system date,0
7,killed carrying flags seeking equality freedom referendum,2
8,someone radio said us iran war christians vs muslim war nigerians stupid,1
9,met saminu young almajiri sitting close restaurant probably waiting get breakfast well nhis face lightning asked take picture agreed,0
10,thank much arne,1
11,us soldiers going innocent ibo traders business going houses looking christians none muslims kill educated issue please ibos ones telling trump,0
12,lovely rhetorical question current crop leaders oh sorry rulers insensitive plight fact anyone calls nigeria zoo person elevating nigeria nigeria jungle sorts sur,1
13,heavens children subject unbearable pain god tender mercy wants suffer die christians love watching people suffer god kill children really,1
14,freya bear result christmas knitting arne carlos norway devised pattern great use leftover wool lots new techniques learned,1
15,greatest height wickedness humanity nigeria army ipob,0
16,created almajiri mentality people top elitist govt,0
17,join us signing korean christianity nsign gt,1
18,join us signing korean christianity nsign gt,1
19,dead country ruled dead leaders nigeria dead arrival almagation naming flora rest democracy mere repackaged setup poor masses countries need divide go r,1
20,join us signing korean christianity nsign gt,1
21,lol govt create almajiri system certain religion create helping stoping abolishing system govt sensitive amp delicate matter far know several attem,0
22,agree putting end almajiri system better solution,0
23,hope russia china nforgetting trust russia comes never trust china comes muslims vs others solution dialogue nrestoration key everlasting peace africa stand,0
24,actually living nimrods land gen assyrians original terrorists original terrorist god told joshua kill men women child crops animals think turn cheek thin,1
25,breaking icc begin war crime probes army ipob shi ite clashes,0
26,follow back ipob,0
27,new post ipob celebrates nnamdi kanu bags africa guardian man year award published biafra star,0
28,ipob celebrates nnamdi kanu bags africa guardian man year award via,0
29,keep enjoying ipob next days wish wish,0
30,obama killed osama ntrump killed soleimani namid boko harams nigeria nwho killed ninnocent protesters innocent ipob members add,1
31,nonsense tell proud terrorist kill innocent christians,2
32,northern leaders r selfish greedy corrupt use religion blindfold region see th,1
33,tweeting like almajiri,1
34,northern political elite keep almajiri class unhealthy body mind perpetually serve feudal elite amp families one reasons nigeria weight poverty illiteracy amp indices underdevelopment sag north,2
35,join ipob family closer let love leads way ipob one family,0
36,tell girl online almajiri stop oo,1
37,even eats lion everyday e suppose reach amount nigeria way years later start recovering buhari loot abacha loot coins buhari loot funniest thing believe dead man villa stealing money,1
38,thank lord jesus ngood news,0
39,worries rspb arne hope see soon take care,1
40,remember president jonathan lost election gov kwankwaso boasted almajiri children mobilised win election far kwankwaso amp co concerned wretched earth bred use win elections,0
41,icc extends war crime probes army shi ites ipob clashes report punch newspapers point correction though ipob separatist movement indigenous people biafra ipob address us ipob biafrans separatist,0
42,millions people diaspora return back home zoo republic nigeria would source livelihood weak incompetent fault,1
43,seeing innocent children cold makes sad sin born irresponsible parents irresponsible society almajiri children useful elite elections nothing else plan present future,0
44,new post icc extends war crime probes army shi ites ipob clashes report,0
45,proud almajiri product u said,1
46,least getting educated almajiri family,1
47,nigeria zoo,1
48,icc extends war crime probes army shi ites ipob clashes report punch newspapers,0
49,know im already mid horizon jejsjsn arne treasu mingi part,1
50,almajiri product many saved count number nigerians killed since useless terrorist war started,1
51,difference biafran ideologist supporter ipob,0
52,shut unarmed people ak call clash nbuhari jubril buratai must account killings beheadings going nigeria,2
53,jubrilbuhari buratai gradually steadily coming nsadly still call army slaughtering ppl clashes,2
54,go follow poor man talk one almajiri,1
55,living zoo trying change name mean change character live zoo animal,1
56,icc extends war crime probes army shi ites ipob clashes report,0
57,new post breaking ipob accuses britain fg conspiracy biafra struggle published biafra star,0
58,breaking ipob accuses britain fg conspiracy biafra struggle via,0
59,icc extends war crime probes army shi ites ipob clashes report,0
60,help almajiri child see either clothes food weather turn nuisance community dangerous family nearest future nalmajiri also child,0
61,ooh god kind harsh weather using two blankets cover someone child streets name almajiri without clothes may god forgive parents,0
62,republish unverified biafra stories ipob warns members via,0
63,nigeria main problem poor leadership extreme corrupt leaders president technically incapacitated brain dead thinks knows nnigeria damn shit hole,1
64,prophet joshua iginla releases prophecy nnamdi kanu ipob leader indigenous people biafra ipob nnamdi kanu powerful clergyman said cthe young man center thing wax strong international presence,0
65,new post republish unverified biafra stories ipob warns members published biafra star,0
66,biafra freedom lovers freedom pliz save biafrans countries nigeria government killing us,1
67,see ehnnn able physics student oau nigeria developed sometin madder wat u claiming try wat u iran country u dead meat e,1
68,brother think elites northern time placed people discouraged almajiri accepting western education kids overseas schooling,0
69,true totally confirms modus operandi dead projects self centered nwhether said like everything nigeria need,0
70,biafra freedom lovers freedom pliz save biafrans countries nigeria government killing us,1
71,wish simple good point though need discuss questions far prominently climate perspectives security studies offer much could learn amp make climate policy far effective,0
72,take look insensitive post nthis christianity nigeria people died accident friend unhurt dthank jesus nis friend better dead neven christian testimonies like always pissed,0
73,breaking icc begin war crime probes army ipob shi ite clashes,0
74,biafra freedom lovers freedom pliz save biafrans countries nigeria government killing us,1
75,never thought negotiating ipob biafrans fighting freedom suggest negotiate boko haram terrorists killed people thousan,1
76,biafra freedom lovers freedom pliz save biafrans countries nigeria government killing us,1
77,need head lord rugard britain free terrorist toxic wasted union called zoo nigeria doom nigeria government surly biafra shall restore,1
78,amaka u know made video long time ago wake jubril sudan aka fake buhari,1
79,icc extends war crime probes army shi ites ipob clashes report,0
80,case ipob never clash report,0
81,land siege terrorist boko halam th,0
82,finally monday wait todays episode becoming interesting day day loving,0
83,biafra freedom lovers freedom pliz save biafrans countries nigeria government killing us,1
84,nigeria army good one thing kill intimidate innocent unarmed civilians shoot el zakzaky people shoot innocent ipob member amp harass people tattoo,2
85,biafra freedom lovers freedom pliz save biafrans countries nigeria government killing us,1
86,land siege terrorist boko halam th,2
87,threat real christians statement mean muslims victims nobody drag kill pass,0
88,cultures cultural ambassadors encourage almajiri massive scale champion open grazing wholesale proportion impede human development societal progress may well fit mama dubbed bein,1
89,sad see happened two almajiri teens sleep street without home,0
90,icc extends war crime probes army shi ites ipob clashes nthis demanded amp got alongside travel ban request nigerians longer killed nothing happen,0
91,ipob family happiest family non planet earth ngod bless mazi nnamdi kanu,0
92,biafra freedom lovers freedom pliz save biafrans countries nigeria government killing us,1
93,little friends evil iranian regime bit sad nat least tv ads iranian telly nhow even think evil regime left terrorise kill christians gays non shia muslim,2
94,could volunteer rspb arne nature reserve,1
95,thank times utter destruction moved little videos creatures called christians think biblical calling humans dominion stewardship means kil,0
96,rspb arne nature reserve needs volunteers,0
97,biafra freedom lovers freedom pliz save biafrans countries nigeria government killing us,1
98,erosion spots anambra state governor wife went usa charity ipob react decisively,0
99,almajiri needs help,0
100,since first incident army said anything let ipob mistakenly sneeze within second mobilize shame idiots reflection cethics,1
101,linked bayern honest look arne maier injury say thing,0
102,enemies like muzlim roaches continually multiply kill sport matter say hate jews christians,2
103,agreed fg ipob amp shitte terrorist groups angry us iran honesty questionable,0
104,people protesting killing terrorist head man nigeria government welcome ipob members celebrate donald trump wining usa presidential election nigeria government killed kidnappe many ipob members date nigeria govt terrorist government,1
105,everytime see pray australia post got koala kangaroo would give shit wasnt country cute animals wont find post drought nigeria picture dead fish hahaha,1
106,nigeria zoo,1
107,lawyer tackles dss arrest man created video buhari fake wedding thecable,0
108,congrats phd give right bully christians calling stupid,2
109,running riot elf causing mayhem abuja shiites compatriots turn stupid hubris suddenly become calmajiri,1
110,libido high marries wives young years output soul less almajiri,1
111,allah arne,1
