Tweet,Polarity
"""If the Igbo want to be President then they must belong\'\'-Ismaila Isa Funtua. \n\nBelong to who? To you &amp; your people? Just listen to this asinine and arrogant contribution coming from this unrepentant Amalekite, racial supremacist, uncircumcised Philistine &amp; ageing almajiri. 1/15 https://t.co/7GpLHEC7sF",1
"I believe the Nigerian writer Chuma Nwokolo has not been given his due. He is the author of ten (?) books of prose &amp; poetry, one of the funniest Nigerian writers I know. His first novel was published in 1983 (when we still had publishing in Nigeria)\nTease: https://t.co/2N8uuK9bYr",0
"""#Soleimani facts:\n\nDidn't kill 600 Americans.\nActually fought with the US in 2001 against Al Qaeda.\nHad no ties to 9-11 (otherwise above wouldn't be true.)\nHelped eliminate ISIS in Syria, who was massacring Christians and Muslims like animals. \nKilled by Trump to do Bibi a favor. https://t.co/2YWgU9V30L""",0
"Every IPOB activists should have a Twitter account.\n\nMine is @chimbiko_jerome, what is yours? Let follow each other",0
@YomiShogunle @imohRICH Nigeria we living in a Zoo,1
What is an Almajiri? Problem just plenty anyhow.,1
"We just concluded a live phone-in program (English) on the issue of Almajiri on Garkuwa FM 95.5, Sokoto.\n\nJoin us for the Hausa version at 9:00am this morning.\n\nThe discussion centred on:\n\n- The #Clothes4Almajiri campaign\n\n- History of the almajiri system from 1914 to date https://t.co/N0o1QCmrGr",0
"@HQNigerianArmy killed them for \n Carrying #Biafran flags and seeking equality , freedom!, Referendum for  #Biafra #IPOB . @MaziNnamdiKanu @IntlCrimCourt @AmnestyNigeria @UKinNigeria @USEmbassyAbuja @StateDept @amnesty @anticorruption https://t.co/n5DkovFAzY",0
someone on the radio just said the us and Iran war is Christians vs Muslim war. Nigerians are stupid,1
"So I met Saminu, this young Almajiri sitting close to the restaurant, probably waiting to get breakfast as well.\nHis face lightning up as I asked to take a picture of him. He agreed.",0
"@Diggoar Thank you so much, Arne! \xf0\x9f\xa7\x99\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f",1
On the US SOLDIERS. They aren\xe2\x80\x99t going for innocent Ibo traders doing their business. They aren\xe2\x80\x99t going about houses looking for Christians and other none Muslims to kill. Be educated on this issue please. Ibos aren\xe2\x80\x99t the ones telling Trump what to do,0
"@segalink A very lovely rhetorical question because our current crop of leaders oh, sorry rulers are insensitive to our plight. In fact, if anyone calls Nigeria a zoo, such a person is elevating Nigeria because Nigeria is a jungle of some sorts. It is survival of the fittest.",1
"@crvrh @Church_Militant Heavens no. Children should be subject to all the unbearable pain God in his tender mercy wants them to suffer as they die.  Christians love watching people suffer, don\xe2\x80\x99t they. Why does God kill children?  He really is a sick freak.",1
Freya bear - the result of my Christmas knitting - Arne and Carlos from Norway devised the pattern - a great use of my leftover wool and lots of new techniques learned https://t.co/GVOS9tKVV3,1
@AmeGerian01 @riccyjossy the greatest height of wickedness against humanity by Nigeria Army against IPOB.,0
"@WoleOluyemiCo @asemota Who created almajiri mentality? Is it not the people at the top, the elitist, those in govt?",0
https://t.co/2kanAv5dyg\nPlease join us in signing for Korean Christianity.\nSign &gt; https://t.co/RxRyqhsQnG\n#Change #petition #PastorJeon #FakePastor #Resign #blasphemy #KoreanCCK #shutdown,1
https://t.co/zQWbMui8fu\nPlease join us in signing for Korean Christianity.\nSign &gt; https://t.co/RxRyqhsQnG\n#Change #petition #PastorJeon #FakePastor #Resign #blasphemy #KoreanCCK #shutdown,1
"@The_Seeker76 Dead Country being ruled by Dead leaders. Nigeria was dead on arrival with the almagation,  the naming by flora and the rest. All these democracy are just mere repackaged setup against the poor masses. These countries need to divide and go restart with a good structure of govt.",1
https://t.co/Qzsjbe55QL\nPlease join us in signing for Korean Christianity.\nSign &gt; https://t.co/RxRyqhsQnG\n#Change #petition #PastorJeon #FakePastor #Resign #blasphemy #KoreanCCK #shutdown,1
"@AlmajiriLife @KadariaAhmed @MBuhari @DrAhmadLawan Lol....govt did not create d almajiri system, certain religion create them. Helping them, stoping them or abolishing d system by govt is a sensitive &amp; delicate matter. As far as we know, several attempts by previous govt hv been made, bt yet not yielding.\nUnless if that certain..",0
"@abbamin30 @dija_umm I agree, but putting an end to the almajiri system is a better solution",0
"""#Iran's Hope are Russia and China\nForgetting that You Can't Trust Russia when it comes to @realDonaldTrump and Can never Trust China When it comes to Muslims vs others\n\nThe only Solution is Dialogue\n\n#Biafra Restoration, Key to everlasting Peace in Africa\n\nI Stand with #IPOB https://t.co/ULXOpmqzjv""",0
"@JenniferJillSch @mjshally Actually they are all living in Nimrods Land Gen 10:8-10, Assyrians are the original terrorists. These are the original terrorist. God told Joshua to kill all men,women,child,crops, animals. I think the turn the other cheek thing is for you fellow Christians, not pagans/gentiles https://t.co/BGjlQNZaEL",0
"""BREAKING: ICC Begin War Crime Probes On Army, IPOB, Shi'ite, Clashes\n_______\n\nhttps://t.co/JUmdAVSDkf""",0
@Amaka_Ekwo Follow back..we are ipob,0
New post (IPOB Celebrates As Nnamdi Kanu Bags Africa Guardian\xe2\x80\x99s Man Of The Year award.) has been published on The Biafra Star - https://t.co/xeATmKjmsk https://t.co/vheQCERLee,0
IPOB Celebrates As Nnamdi Kanu Bags Africa Guardian\xe2\x80\x99s Man Of The Year award. https://t.co/MMEmDxDJeh via @@ThisdayN,0
@BuwayKasco @Nnaemekachikezi @ChidiOdinkalu Keep enjoying your IPOB for the next 7days and after and after. Wish you what you wish yourself.,0
"Obama killed Osama \nTrump killed Soleimani\n\nAmid all the Boko Harams in Nigeria \nWho have @MBuhari killed \n.\n.\nInnocent protesters, innocent IPOB members add yours https://t.co/iL0MfDAi4G",1
"""This is the nonsense they tell them that's why they are proud to be terrorist, to kill innocent Christians \n@ATasteOfAfrica7 @Amaka_Ekwo @NkirukaNistoran https://t.co/8foGeefDMy""",0
"@AlmajiriLife @MBuhari @aishambuhari @UNICEF_Nigeria @UNDPNigeria @SDGaction @GovMatawalle @Sadiya_farouq @seunonigbinde @savechildrenNG @ComSecYouth Northern leaders r selfish, greedy, and very corrupt. They use religion to blindfold d region. See how these kids r suffering, very sad. They have allowed this almajiri system to thrive bc they benefit from it by using these guys to torment trouble during election year",1
@Yakanti2 @TheHumb05630280 @SaharaReporters @HQNigerianArmy Tweeting like an Almajiri,1
"""The northern political elite keep the almajiri class unhealthy in both body and mind so that they can perpetually serve these feudal elite &amp; their families. That's one of the reasons why Nigeria's weight of poverty, illiteracy &amp; other indices of underdevelopment sag in the North.""",0
"Join  any ipob family closer to you and let love leads the way, ipob one family https://t.co/E5UrMiJt4F",0
"""Y'all should tell ur girl that online almajiri should stop oo...na 2020 be this o""",1
"""@The_Seeker76 Even if he eats Lion everyday,  e no suppose reach this amount . Nigeria which way ? 10 years later when they start recovering Buhari's loot, Abacha's loot be coins to Buhari's loot. Funniest thing is that you won't believe it's a dead man in the villa stealing all these money...""",1
Thank you Lord Jesus!\n\nGood news!\n https://t.co/nxl17hzzcH,0
@RSPBArne @RSPBEngland @Natures_Voice No worries RSPB Arne I hope to see you again soon take care all \xf0\x9f\x98\x81,1
"I remember in 2015, after President Jonathan lost the election, Gov Kwankwaso, boasted that it was their almajiri children they mobilised to win the election. As far as Kwankwaso &amp; co are concerned, their wretched of the earth are bred so that they can use them to win elections.",0
"ICC extends war crime probes to Army, Shi\xe2\x80\x99ites, IPOB clashes \xe2\x80\x93 Report \xe2\x80\x93 Punch Newspapers https://t.co/HOcKyFgayv POINT OF CORRECTION THOUGH; IPOB is not a separatist movement. WE ARE THE INDIGENOUS PEOPLE OF BIAFRA (IPOB) Address us as JUST IPOB. We are Biafrans, not separatist.",0
"If millions of people in diaspora should return back home to the zoo republic of Nigeria , what would be their source of livelihood? @NigeriaGov is weak and incompetent @MBuhari it\xe2\x80\x99s all your fault",1
Seeing these innocent children in the cold makes me sad. Their only sin is that they were born by irresponsible parents into an irresponsible society. These almajiri children are only useful to the elite during elections. Nothing else. No plan for their present or their future. https://t.co/lsxWe9BTpw,0
"New Post: ICC Extends War Crime Probes To Army, Shi\xe2\x80\x99ites, IPOB Clashes \xe2\x80\x93 Report https://t.co/jBgUIEXkmA",0
"@TheHumb05630280 @SaharaReporters @HQNigerianArmy I am so proud to be an ""Almajiri product"" as u said, so what again?",1
"@abdulmen_z @iamcardib @OffsetYRN At least I am getting educated, almajiri is not in my family \xf0\x9f\x98\xb9",1
@kelecie Nigeria is a zoo,1
"ICC extends war crime probes to Army, Shi\xe2\x80\x99ites, IPOB clashes \xe2\x80\x93 Report \xe2\x80\x93 Punch Newspapers https://t.co/aL9OHCBRtn",0
@wowsbffie i know im already mid horizon JEJSJSN you arne treasu for mingi part,1
"@Yakanti2 @SaharaReporters @HQNigerianArmy Almajiri product.. how many have they saved, or can you count the number of Nigerians killed since the useless terrorist war started?",1
"""@Amaka_Ekwo What's the difference between Biafran ideologist/supporter and IPOB?""",0
"""You don't shut unarmed people with AK47 and call same a clash.\nBuhari (Jubril) and Buratai must account for killings and Beheadings going on in Nigeria.\n\nhttps://t.co/2Fh7iAspTs""",0
"JubrilBuhari, Buratai #IPOB is gradually but steadily coming after you.\nSadly they still call Army slaughtering ppl. as clashes.\n\nhttps://t.co/2Fh7iAspTs",0
@billionairesson @CACCOT1 Go follow poor man talk this one or almajiri,1
"""@ChineduMN18 @nigeria_this @L_maann But you're living in that zoo. Trying to change your name doesn't mean change of character, if where you live is a zoo then you are ANIMAL.""",1
"ICC extends war crime probes to Army, Shi\xe2\x80\x99ites, IPOB clashes \xe2\x80\x93 Report https://t.co/VPMDQU8oi0",0
"New post (Breaking:IPOB accuses Britain, FG of conspiracy against Biafra struggle.) has been published on The Biafra Star - https://t.co/7n75cH4qs9 https://t.co/Gq2LpRWvrC",0
"Breaking:IPOB accuses Britain, FG of conspiracy against Biafra struggle. https://t.co/U5iUKEIABd via @@ThisdayN",0
"ICC extends war crime probes to Army, Shi\xe2\x80\x99ites, IPOB clashes \xe2\x80\x93 Report https://t.co/brFikzz0QC",0
"Help any Almajiri child you see with either clothes or food, this weather can turn them into nuisance in the community and they will be dangerous to you and your family in the nearest future. \n\nALMAJIRI IS ALSO A CHILD\n#PrincessBeeba\n#OriginalEbiraPikin\n#GYBLastBorn",0
"""Ooh my God, with this kind of harsh weather where i am using two blankets to cover myself, someone's child is out there on the streets in the name of Almajiri without clothes on. (May God forgive their parents) https://t.co/1Dyl1i3SLc""",0
Don\xe2\x80\x99t Republish Unverified Biafra Stories IPOB warns members https://t.co/BK7A2h3Wkn via @@ThisdayN,0
@AJEnglish Nigeria main problem is poor leadership. We have extreme corrupt leaders and a president who is technically incapacitated or brain dead but thinks he knows more.\nNigeria is a damn shit hole!,1
"Prophet  Joshua Iginla releases 2020 Prophecy for Nnamdi Kanu and IPOB\n\nThe Leader of Indigenous People of Biafra, IPOB, Nnamdi Kanu will be so powerful in 2020.\n\nThe clergyman said: \xe2\x80\x9cThe young man at the center of this thing will wax strong with international presence\xe2\x80\x9d.",0
"""New post (Don't Republish Unverified Biafra Stories IPOB warns members) has been published on The Biafra Star - https://t.co/i0V5NbuUwY https://t.co/etDiOcqKp4""",0
BIAFRA freedom - lovers of freedom pliz save BIAFRANS in ur countries-nigeria government is killing us-@realDonaldTrump @dgpup @Uppolice @narendramodi @ANINewsUP @sspnoida @RFKHumanRights @UNinIndia @MaziNnamdiKanu   @SURAJPUR_POLICE @g_ipob @rwlord @BorisJohnson @DelhiPolice https://t.co/8uYBjLmHR3,0
"@realDonaldTrump See ehnnn as a very able physics student of OAU Nigeria, we have developed sometin madder than wat u are claiming ,try wat u are doing with Iran ,with my country ,u are a dead meat\xf0\x9f\x98\x8e\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5",1
"@UrbanRadio945 My brother,I think the elites in Northern have over time placed themselves above their people, the discouraged almajiri from accepting western education while their kids are in overseas schooling.",0
"If it is true, then it totally confirms his modus operandi. Dead projects, self centered... \nWhether he said this or not he is a just like everything Nigeria doesn\xe2\x80\x99t need. https://t.co/d6lhgZZpdY",0
BIAFRA freedom - lovers of freedom pliz save BIAFRANS in ur countries-nigeria government is killing us-@realDonaldTrump @dgpup @Uppolice @narendramodi @ANINewsUP @sspnoida @RFKHumanRights @UNinIndia @MaziNnamdiKanu   @SURAJPUR_POLICE @g_ipob @rwlord @BorisJohnson @DelhiPolice https://t.co/QBZxs6ZOFo,0
"@Arne_JJ I wish it were that simple. Good point though, we need to discuss these questions far more prominently from climate perspectives. Security studies offer much from which we could learn, &amp; make climate policy far more effective.",0
"""Take a look at this insensitive post.\n\nThis is what Christianity is about in Nigeria, 6 people died in an accident, his friend was unhurt, so it's \xe2\x80\x9dthank you, Jesus\xe2\x80\x9d. \n\nIs his friend better than the dead?\n\nEven when I was a Christian, testimonies like this always pissed me off. https://t.co/kGarfzizQZ""",1
"""BREAKING: ICC Begin War Crime Probes On Army, IPOB, Shi'ite, Clashes\n_______\n\nhttps://t.co/Hq90Xzd2eY""",0
BIAFRA freedom - lovers of freedom pliz save BIAFRANS in ur countries-nigeria government is killing us-@realDonaldTrump @dgpup @Uppolice @narendramodi @ANINewsUP @sspnoida @RFKHumanRights @UNinIndia @MaziNnamdiKanu   @SURAJPUR_POLICE @g_ipob @rwlord @BorisJohnson @DelhiPolice https://t.co/aY4Crl4aZX,0
